No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
1276,Instagram,@beasiswa_indo,Beasiswa S1 dalam negeri hanya tersedia bagi mahasiswa yang bersedia jadi relawan.,1,
1277,Liputan6,@liputan6dotcom,Mendikbud: Modul belajar cetak Oktober dikirim ke 14.000 sekolah daerah 3T.,0,
1278,WhatsApp,Pesan Berantai,"Link subsidi internet 100GB edisi Sumpah Pemuda, klik link promo-oktober.xyz.",1,
1279,CNBC Indonesia,@cnbcindonesia,"Kemendikbud pangkas anggaran perjalanan dinas hingga Rp2,2 Triliun tahun 2020.",0,
1280,X (Twitter),@anon_indo,Dana pembangunan jalan tol diambil dari anggaran riset universitas nasional.,1,
1281,CNN Indonesia,@CNNIndonesia,Efisiensi: Kemendikbud terapkan sistem monitoring dana BOS berbasis real-time.,0,
1282,Facebook,Kabar Guru,Sertifikasi guru hanya cair jika guru menunjukkan struk belanja pulsa internet.,1,
1283,Tirto.id,@tirtoid,Analisis: Skema penyaluran dana BOS Oktober ringankan beban finansial sekolah.,0,
1284,YouTube,Politik News,Video: Mendikbud sebut sekolah negeri tidak akan dapat dana BOS lagi tahun depan.,1,
1285,Republika,@republikaonline,Pemerintah tingkatkan alokasi dana bantuan operasional sekolah swasta di Oktober.,0,
1286,WhatsApp,Grup Sekolah,"Bantuan gawai gratis bagi 200 pengajar pertama, klik bantuan-hp.xyz.",1,
1287,LLDikti,@lldikti_wil3,Penyeragaman sistem pelaporan online (PDDIKTI) kurangi biaya administrasi kampus.,0,
1288,Instagram,@infomahasiswa,Pengembalian dana UKT 50% bagi mahasiswa yang tidak masuk laboratorium.,1,
1289,Kemenkeu,Nota APBN,Belanja barang Kemendikbud turun tajam berkat efisiensi pertemuan virtual Oktober.,0,
1290,TikTok,@politikupdate,Dana subsidi kuota hanya diberikan kepada provider tertentu milik kroni pejabat.,1,
1291,Kompas,@hariankompas,Kemendikbud: Sekolah boleh gunakan dana BOS untuk pengadaan wastafel portabel.,0,
1292,Facebook,Forum Honorer,Pendaftaran PPPK 2020 resmi dibuka 28 Oktober bagi guru honorer senior.,1,
1293,Setkab RI,@setkabgoid,Presiden: Efisiensi anggaran pendidikan harus berujung pada bantuan langsung rakyat.,0,
1294,Kemendikbud,@Kemdikbud_RI,"Kemendikbud luncurkan portal ""Guru Berbagi"" untuk efisiensi distribusi RPP gratis.",0,
1295,WhatsApp,Grup Guru,"Link klaim insentif tambahan guru honorer Rp1,2 juta dari kementerian (Palsu).",1,
1296,Detik Edu,@detikcom,Nadiem: Penyaluran Dana BOS Tahap III dipercepat untuk persiapan semester genap.,0,
1297,Facebook,Info Viral,Sekolah wajib kembalikan uang gedung karena gedung tidak dipakai selama PJJ.,1,
1298,Antara News,@antaranews,Kemendikbud siapkan dana Rp100 Miliar untuk penguatan server e-learning PTN.,0,
1299,TikTok,@edukasiviral,Kabar Buruk: Ijazah 2020 tidak laku untuk melamar kerja karena lulusan pandemi.,1,
1300,Tempo.co,@tempodotco,Kemendikbud sederhanakan standar kelulusan nasional guna efisiensi kurikulum.,0,
1301,Instagram,@beasiswahunter,Dana KIP-Kuliah Oktober ditunda pencairannya demi subsidi vaksin kementerian.,1,
1302,CNBC Indonesia,@cnbcindonesia,Kemendikbud hemat Rp300 Miliar dari pengalihan rakor daerah ke webinar.,0,
1303,WhatsApp,Broadcast,Link aktivasi paket internet 30GB gratis dari menteri khusus bulan Oktober.,1,
1304,Liputan6,@liputan6dotcom,Mendikbud: Pemanfaatan sistem SIPLah dalam pengadaan sekolah lebih efisien.,0,
1305,X (Twitter),@anon_indo,Anggaran beasiswa luar negeri dipakai untuk membayar buzzer politik pemerintah.,1,
1306,CNN Indonesia,@CNNIndonesia,Efisiensi Anggaran: Kemendikbud batalkan seluruh studi banding antar universitas.,0,
1307,Facebook,Kabar Guru,Guru honorer yang tidak menguasai Google Classroom akan diberhentikan kontraknya.,1,
1308,Tirto.id,@tirtoid,Analisis: Kurikulum Darurat Oktober ringankan biaya fotokopi tugas orang tua.,0,
1309,YouTube,Berita News,Video: Nadiem resmi gunakan dana BOS untuk operasional bisnis pribadinya.,1,
1310,Republika,@republikaonline,Pemerintah alokasikan dana khusus untuk riset ventilator di universitas-universitas.,0,
1311,WhatsApp,Grup Sekolah,Bantuan uang tunai Rp1 juta bagi siswa kurang mampu via link dana-siswa.tk.,1,
1312,LLDikti,@lldikti_wil3,Penertiban administrasi dosen dilakukan 100% daring demi efisiensi biaya logistik.,0,
1313,Instagram,@infokampus,Mahasiswa yang tidak lapor nomor HP di Dapodikdikti akan dicabut beasiswanya.,1,
1314,Kemenkeu,Nota APBN,Sisa dana pembatalan UN 2020 jadi sumber utama subsidi kuota internet Oktober.,0,
1315,TikTok,@politikupdate,Dana riset universitas dipotong untuk membayar influencer pariwisata nasional.,1,
1316,Kompas,@hariankompas,Kemendikbud: Digitalisasi data guru kunci efisiensi penyaluran bantuan subsidi upah.,0,
1317,Facebook,Forum Honorer,Anggaran pengangkatan guru PPPK 2020 dihapus karena negara krisis ekonomi.,1,
1318,Setkab RI,@setkabgoid,Presiden Jokowi: Anggaran pendidikan harus fleksibel dan berpihak pada rakyat.,0,
1319,WhatsApp,Pesan Berantai,"Bantuan dana renovasi gedung sekolah, hubungi WA 0821xxxxxxxx (Modus Scam).",1,
1320,CNBC Indonesia,@cnbcindonesia,Kemendikbud pangkas biaya operasional birokrasi sebesar Rp400 Miliar di Oktober.,0,
1321,X (Twitter),@guru_cerdas,Kemendikbud akan tarik dana sertifikasi bagi guru yang tidak mengajar di zona hijau.,1,
1322,Tempo.co,@tempodotco,Nadiem: Efisiensi anggaran adalah memastikan dana sampai ke tangan yang berhak.,0,
1323,Instagram,@beasiswagratis,Pendaftaran Beasiswa Berhenti Kuliah bagi mahasiswa terdampak di link-beasiswa.com.,1,
1324,Kemendikbud,Rilis Pers,Penyesuaian Juknis BOS Oktober: Sekolah boleh beli alat perlindungan diri.,0,
1325,WhatsApp,Grup Kelas,Subsidi biaya SPP sekolah Rp200rb cair melalui link subsidi-diknas.online.,1,
1326,Kemenkeu,Laporan APBN,Realisasi belanja fungsi pendidikan Oktober meningkat tajam akibat subsidi kuota.,0,
1327,Facebook,Info Loker,"Kemendikbud butuh admin entri data bantuan kuota internet, gaji Rp4 juta sebulan.",1,
1328,Detik Finance,@detikcom,Sistem pelaporan BOS daring (ARKAS) berhasil minimalisir kebocoran dana sekolah.,0,
1329,TikTok,@mhs_update,UI dan ITB naikkan biaya pendaftaran mahasiswa baru jalur mandiri secara mendadak.,1,
1330,Humas PTN,@univ_indonesia,UI optimalkan efisiensi pemeliharaan fasilitas kampus selama periode PJJ Oktober.,0,
1331,WhatsApp,Grup Guru,Biaya pendaftaran verifikasi subsidi upah kementerian sebesar Rp50rb per orang.,1,
1332,Kompasiana,Opini,Kebijakan Merdeka Belajar: Transformasi efisiensi birokrasi pendidikan Indonesia.,0,
1333,Instagram,@scholarship_id,Dana beasiswa S1 dalam negeri dialihkan untuk pembangunan rumah sakit darurat baru.,1,
1334,BPS,Laporan 2020,Stabilitas biaya pendidikan Oktober terbantu kebijakan subsidi paket data.,0,
1335,X (Twitter),@lapor_mas,Link verifikasi nomor HP dosen untuk tunjangan kuota riset Oktober (Phishing).,1,
1336,Kemendikbud,@kemdikbud,Mendikbud: Kampus Merdeka dorong kolaborasi riset antar kampus yang efisien.,0,
1337,Facebook,Berita Guru,Guru yang tidak aktif di grup koordinasi WhatsApp tunjangan profesinya dipotong.,1,
1338,Antara News,@antaranews,Kemendikbud fokuskan dana untuk peningkatan sinyal internet di sekolah terpencil.,0,
1339,WhatsApp,Grup WA,Undangan survei kepuasan guru berhadiah saldo e-wallet (Indikasi Penipuan).,1,
1340,Liputan6,@liputan6dotcom,Nadiem Makarim: Digitalisasi sekolah memangkas biaya administrasi pendidikan.,0,
1341,TikTok,@infosekolah,Video: Penutupan massal sekolah swasta karena dana BOS Oktober dihentikan.,1,
1342,Tirto.id,@tirtoid,Analisis: RPP 1 Lembar Oktober kurangi beban kerja administratif guru.,0,
1343,X (Twitter),@edunews,Pemerintah batalkan pencairan Dana BOS tahap III bagi sekolah yang melanggar prokes.,1,
1344,Kemendikbud,@Kemdikbud_RI,Mendikbud resmi meluncurkan BSU bagi 2 juta Guru Honorer dan Tenaga Kependidikan.,0,
1345,WhatsApp,Grup Guru,"Link pendaftaran pencairan BSU Kemendikbud Rp1,8 juta, klik pencairan-bsu.xyz.",1,
1346,Kompas.com,@kompascom,Nadiem: Bantuan Subsidi Upah disalurkan langsung ke rekening baru untuk cegah pungli.,0,
1347,Facebook,Info Guru,Kabar Buruk: Dana BSU hanya diberikan kepada guru yang sudah mengajar di atas 10 tahun.,1,
1348,Antara News,@antaranews,Kemendikbud salurkan subsidi kuota internet tahap 3 mulai 22 hingga 28 November.,0,
1349,TikTok,@edukasiviral,Nadiem umumkan seluruh siswa SD akan dapat tablet gratis bermerek Samsung di akhir November.,1,
1350,Detik Edu,@detikcom,"Syarat cairkan BSU Guru Honorer: Cukup bawa KTP, NPWP (jika ada), dan SPTJM dari Info GTK.",0,
1351,Instagram,@beasiswahunter,Beasiswa LPDP periode November resmi dibatalkan karena anggaran dipakai beli vaksin.,1,
1352,Tempo.co,@tempodotco,Efisiensi Anggaran: Kemendikbud pangkas 40% biaya pengadaan alat peraga fisik SMK.,0,
1353,WhatsApp,Broadcast,"Login ke bantuan-ukt-mahasiswa.site untuk klaim subsidi uang kuliah Rp2,4 juta.",1,
1354,Liputan6,@liputan6dotcom,Mendikbud: PJJ tahap 2 lebih efisien berkat Kurikulum Darurat yang ringkas.,0,
1355,X (Twitter),@anon_indo,Dana BSU Guru Honorer disunat 20% oleh dinas pendidikan daerah untuk biaya operasional.,1,
1356,CNN Indonesia,@CNNIndonesia,Efisiensi Birokrasi: SKB 4 Menteri izinkan pemerintah daerah putuskan buka sekolah Januari 2021.,0,
1357,Facebook,Kabar Guru,Guru yang tidak memiliki sertifikat vaksin mandiri dilarang mengajar tatap muka Januari.,1,
1358,Tirto.id,@tirtoid,"Nadiem Makarim: Kita realokasi anggaran Rp3,6 Triliun untuk kesejahteraan guru honorer.",0,
1359,YouTube,Berita News,Video: Mendikbud umumkan guru honorer tidak perlu tes untuk jadi PPPK tahun depan.,1,
1360,Republika,@republikaonline,Pemerintah fokuskan dana pendidikan untuk penguatan literasi digital di pesantren.,0,
1361,WhatsApp,Grup Sekolah,"Subsidi pulsa gratis 50GB khusus hari Pahlawan, klik link pahlawan-kuota.tk.",1,
1362,LLDikti,@lldikti_wil3,Kampus diminta bantu validasi rekening mahasiswa penerima bantuan UKT semester ganjil.,0,
1363,Instagram,@infokampus,Mahasiswa tingkat akhir dibebaskan dari biaya wisuda jika publikasi jurnal di November.,1,
1364,Kemenkeu,Nota Keuangan,Refocusing November: Penghematan belanja kementerian dialihkan ke perlindungan sosial guru.,0,
1365,TikTok,@politikupdate,Dana abadi pendidikan dipakai untuk membangun sirkuit balap internasional.,1,
1366,Kompas,@hariankompas,Kemendikbud: Dana BOS 2021 akan tetap fokus pada fleksibilitas kebutuhan sekolah.,0,
1367,Facebook,Forum Honorer,Nadiem resmi hapus kewajiban mengajar 24 jam bagi guru penerima sertifikasi.,1,
1368,Setkab RI,@setkabgoid,Presiden Jokowi: Penyaluran BSU Guru Honorer harus transparan dan tanpa potongan.,0,
1369,WhatsApp,Pesan Berantai,"Bantuan subsidi HP dan Laptop gratis dari program ""Kemendikbud Peduli"", klik ini.",1,
1370,CNBC Indonesia,@cnbcindonesia,Kemendikbud hemat Rp3 Triliun dari pembatalan seluruh kegiatan luar negeri tahun 2020.,0,
1371,X (Twitter),@guru_cerdas,Kemendikbud tarik kembali dana BOS bagi sekolah yang tidak lapor penggunaan internet.,1,
1372,Tempo.co,@tempodotco,Nadiem: Evaluasi PJJ menunjukkan efisiensi waktu belajar bagi siswa yang mandiri.,0,
1373,Instagram,@beasiswagratis,Pendaftaran Beasiswa November Ceria di situs pendaftaran-beasiswa-diknas.xyz.,1,
1374,Kemendikbud,Rilis Pers,Info GTK: Guru honorer silakan cek status penerima BSU di portal info.gtk.kemdikbud.go.id.,0,
1375,WhatsApp,Grup Kelas,"Kuota belajar gratis 40GB November dari Indosat, aktifkan di link bit.ly/kuota-indosat.",1,
1376,Kemenkeu,Laporan APBN,Realisasi anggaran bantuan kuota internet sudah mencapai 85% per November.,0,
1377,Facebook,Info Loker,"Lowongan admin pencairan dana BSU Kemendikbud, gaji Rp5 juta, bayar biaya materai.",1,
1378,Detik Finance,@detikcom,Sri Mulyani: Anggaran pendidikan 2021 naik menjadi Rp550 Triliun untuk pemulihan.,0,
1379,TikTok,@mhs_update,PTN resmi dilarang memungut biaya semester bagi mahasiswa yang orang tuanya PHK.,1,
1380,Humas PTN,@univ_indonesia,UI optimalkan penggunaan e-office untuk efisiensi biaya administrasi persuratan.,0,
1381,WhatsApp,Grup Guru,Potongan pajak BSU guru honorer naik menjadi 15% jika tidak punya kartu anggota PGRI.,1,
1382,Kompasiana,Opini,Efisiensi Belajar: Mengapa sekolah tatap muka terbatas adalah opsi terbaik saat ini.,0,
1383,Instagram,@scholarship_id,Dana beasiswa S3 dalam negeri resmi dihentikan untuk pendaftar baru November 2020.,1,
1384,BPS,Laporan 2020,Inflasi pendidikan November stabil karena kebijakan subsidi pemerintah tepat sasaran.,0,
1385,X (Twitter),@lapor_mas,Link verifikasi nomor HP siswa untuk paket internet 50GB periode akhir tahun (Palsu).,1,
1386,Kemendikbud,@kemdikbud,Mendikbud: Mahasiswa bisa gunakan kuota belajar untuk akses 19 jurnal ilmiah gratis.,0,
1387,Facebook,Berita Guru,Sekolah yang tidak buka tatap muka Januari 2021 akan dicabut Dana BOS-nya.,1,
1388,Antara News,@antaranews,Kemendikbud alokasikan dana untuk revitalisasi bangunan sekolah di daerah gempa.,0,
1389,WhatsApp,Grup WA,"Undian berhadiah paket umroh dari kementerian bagi guru honorer, daftar di link ini.",1,
1390,Liputan6,@liputan6dotcom,Efisiensi: Kemendikbud pangkas 50% biaya konsumsi rapat dan dialihkan ke paket data.,0,
1391,TikTok,@infosekolah,Video: Seluruh buku paket wajib dibuang dan diganti dengan materi dari YouTube.,1,
1392,Tirto.id,@tirtoid,Analisis: BSU Guru Honorer bantu gerakkan roda ekonomi di tingkat desa.,0,
1393,X (Twitter),@edunews,Pemerintah batalkan bantuan bagi guru honorer yang tidak aktif mengajar di Dapodik.,0,
1394,Kemendikbud,@Kemdikbud_RI,Nadiem: Program Guru Penggerak ciptakan pemimpin pembelajaran yang efisien.,0,
1395,WhatsApp,Grup Guru,Perintah setor nomor kartu ATM dan PIN untuk verifikasi dana hibah kementerian.,1,
1396,Kompas.com,@kompascom,Kemendikbud siapkan anggaran subsidi upah bagi dosen tetap non-PNS.,0,
1397,Facebook,Info Guru,Sertifikasi guru hanya cair jika guru sudah mengunggah video pembelajaran 30 menit.,1,
1398,Antara News,@antaranews,Dana BOS 2020: Sekolah kini wajib laporkan penggunaan dana secara digital.,0,
1399,TikTok,@edukasiviral,Kabar Buruk: Ijazah tahun 2020 tidak laku untuk melamar kerja di perusahaan asing.,1,
1400,Detik Edu,@detikcom,Nadiem: Anggaran kementerian diprioritaskan untuk perlindungan guru dan siswa.,0,
1401,Instagram,@beasiswahunter,Beasiswa luar negeri 2020 dialihkan untuk subsidi kuota internet mahasiswa.,1,
1402,Tempo.co,@tempodotco,Kemendikbud dorong efisiensi melalui digitalisasi modul Kurikulum Darurat di sekolah.,0,
1403,WhatsApp,Broadcast,Link registrasi bantuan dana belajar Rp2 juta bagi siswa sekolah bulan November.,1,
1404,Liputan6,@liputan6dotcom,Mendikbud: PJJ adalah momentum melakukan efisiensi sistem pendidikan nasional.,0,
1405,X (Twitter),@anon_indo,Dana BSU Guru Honorer dipakai untuk membayar biaya kampanye Pilkada daerah.,1,
1406,CNN Indonesia,@CNNIndonesia,Efisiensi Anggaran: Kemendikbud tunda pengadaan alat olahraga tingkat nasional.,0,
1407,Facebook,Kabar Guru,Syarat pencairan BSU November wajib melampirkan kartu vaksin COVID-19.,1,
1408,Tirto.id,@tirtoid,Analisis: Digitalisasi administrasi sekolah pangkas biaya operasional daerah.,0,
1409,YouTube,Berita News,Video: Mendikbud umumkan seluruh seragam sekolah diganti kaos demi penghematan.,1,
1410,Republika,@republikaonline,Pemerintah fokuskan dana pendidikan untuk infrastruktur teknologi di sekolah pedesaan.,0,
1411,WhatsApp,Grup Sekolah,Subsidi pulsa 50GB cair jika login menggunakan nomor HP di link bit.ly palsu ini.,1,
1412,LLDikti,@lldikti_wil3,Digitalisasi tanda tangan ijazah perguruan tinggi pangkas biaya pengiriman dokumen.,0,
1413,Instagram,@infokampus,Mahasiswa angkatan 2020 bebas biaya UKT selama 2 semester jika orang tua kena PHK.,0,
1414,Kemenkeu,Nota Keuangan,Sisa anggaran UN 2020 resmi habis dialokasikan untuk subsidi kuota internet.,0,
1415,TikTok,@politikupdate,Dana riset universitas dipotong untuk membayar influencer pariwisata nasional.,1,
1416,Kompas,@hariankompas,Kemendikbud instruksikan sekolah gunakan Dana BOS untuk pembelian kuota bagi guru.,0,
1417,Facebook,Forum Honorer,Nadiem Makarim hapus syarat NUPTK bagi penerima BSU Guru Honorer.,0,
1418,Setkab RI,@setkabgoid,Presiden: Efisiensi anggaran pendidikan harus berujung pada bantuan langsung rakyat.,0,
1419,Kemendikbud,@Kemdikbud_RI,"Nadiem: Program Guru Berbagi capai 1,5 juta materi gratis untuk efisiensi mengajar.",0,
1420,WhatsApp,Grup Guru,Pemberitahuan bonus kuota 15GB bagi guru yang sudah cetak kartu BSU di Info GTK.,1,
1421,Detik Edu,@detikcom,"Kemendikbud alokasikan Rp2,9 Triliun untuk tunjangan khusus guru di daerah terpencil.",0,
1422,Facebook,Info Viral,"Sekolah dilarang pungut biaya perpisahan selama pandemi, jika melanggar denda besar.",0,
1423,Antara News,@antaranews,Kemendikbud salurkan BOS Afirmasi bagi sekolah swasta di daerah terdampak COVID.,0,
1424,TikTok,@mhs_fakta,Kampus resmi dilarang menagih biaya wisuda online jika hanya menggunakan aplikasi Zoom.,1,
1425,Tempo.co,@tempodotco,Kemendikbud tunda pembangunan pusat seni demi dana bantuan kuota internet.,0,
1426,Instagram,@beasiswa_indo,Beasiswa S2 luar negeri hanya tersedia bagi mereka yang memiliki sertifikat keahlian IT.,1,
1427,Liputan6,@liputan6dotcom,Mendikbud: Kurikulum Darurat kurangi beban psikis siswa dan finansial orang tua.,0,
1428,WhatsApp,Pesan Berantai,"Link subsidi internet 75GB bagi pengguna Telkomsel edisi akhir tahun, klik di sini.",1,
1429,CNBC Indonesia,@cnbcindonesia,"Kemendikbud pangkas anggaran perjalanan dinas hingga Rp2,4 Triliun tahun 2020.",0,
1430,X (Twitter),@anon_indo,Dana pembangunan jalan tol diambil dari anggaran riset universitas nasional.,1,
1431,CNN Indonesia,@CNNIndonesia,Efisiensi: Kemendikbud terapkan sistem monitoring dana BOS berbasis digital.,0,
1432,Facebook,Kabar Guru,Sertifikasi guru hanya cair jika guru menunjukkan struk belanja paket data harian.,1,
1433,Tirto.id,@tirtoid,Analisis: Skema baru penyaluran dana BOS November ringankan beban sekolah kecil.,0,
1434,YouTube,Politik News,Video: Mendikbud sebut sekolah swasta tidak akan dapat bantuan lagi tahun depan.,1,
1435,Republika,@republikaonline,Pemerintah tingkatkan alokasi dana bantuan operasional sekolah swasta di November.,0,
1436,WhatsApp,Grup Sekolah,"Bantuan tablet gratis bagi 100 guru honorer pertama, klik tablet-guru-bsu.xyz.",1,
1437,LLDikti,@lldikti_wil3,Penyeragaman sistem pelaporan online (PDDIKTI) kurangi biaya administrasi kampus.,0,
1438,Instagram,@infomahasiswa,Pengembalian dana UKT 100% bagi mahasiswa yang tidak masuk laboratorium.,1,
1439,Kemenkeu,Nota APBN,Belanja barang Kemendikbud turun tajam berkat efisiensi pertemuan virtual November.,0,
1440,TikTok,@politikupdate,Dana subsidi kuota hanya diberikan kepada provider tertentu milik kroni pejabat.,1,
1441,Kompas,@hariankompas,Kemendikbud: Sekolah boleh gunakan dana BOS untuk beli alat cuci tangan otomatis.,0,
1442,Facebook,Forum Honorer,Pendaftaran PPPK 2021 resmi dibuka mulai 25 November bertepatan Hari Guru.,0,
1443,Setkab RI,@setkabgoid,Presiden: Anggaran pendidikan harus lincah dan berpihak pada rakyat kecil.,0,
1444,Kemendikbud,@Kemdikbud_RI,"Kemendikbud luncurkan portal ""Guru Belajar"" untuk efisiensi pelatihan guru daring.",0,
1445,WhatsApp,Grup Guru,"Link klaim insentif tambahan guru honorer Rp1,2 juta dari kementerian (Palsu).",1,
1446,Detik Edu,@detikcom,Nadiem: Penyaluran Dana BOS Tahap III dipercepat untuk persiapan semester genap.,0,
1447,Facebook,Info Viral,Sekolah wajib kembalikan uang gedung karena gedung tidak dipakai selama PJJ.,1,
1448,Antara News,@antaranews,Kemendikbud siapkan dana Rp100 Miliar untuk penguatan server e-learning universitas.,0,
1449,TikTok,@edukasiviral,Kabar Buruk: Ijazah 2020 tidak laku untuk melamar kerja karena lulusan pandemi.,1,
1450,Tempo.co,@tempodotco,Kemendikbud sederhanakan standar kelulusan nasional guna efisiensi kurikulum.,0,
1451,Instagram,@beasiswahunter,Dana KIP-Kuliah ditunda pencairannya demi subsidi vaksin kementerian kesehatan.,1,
1452,CNBC Indonesia,@cnbcindonesia,Kemendikbud hemat Rp300 Miliar dari pengalihan rapat koordinasi daerah ke webinar.,0,
1453,WhatsApp,Broadcast,Link aktivasi paket internet 30GB gratis dari menteri khusus bulan November.,1,
1454,Liputan6,@liputan6dotcom,Mendikbud: Pemanfaatan sistem SIPLah dalam pengadaan sekolah lebih efisien.,0,
1455,X (Twitter),@anon_indo,Anggaran beasiswa luar negeri dipakai untuk membayar buzzer politik pemerintah.,1,
1456,CNN Indonesia,@CNNIndonesia,Efisiensi Anggaran: Kemendikbud batalkan seluruh studi banding antar universitas.,0,
1457,Facebook,Kabar Guru,Guru honorer yang tidak menguasai Google Classroom akan diberhentikan kontraknya.,1,
1458,Tirto.id,@tirtoid,Analisis: Kurikulum Darurat November ringankan biaya fotokopi tugas orang tua.,0,
1459,YouTube,Berita News,Video: Nadiem resmi gunakan dana BOS untuk operasional bisnis pribadinya.,1,
1460,Republika,@republikaonline,Pemerintah alokasikan dana khusus untuk riset ventilator di universitas nasional.,0,
1461,WhatsApp,Grup Sekolah,Bantuan uang tunai Rp1 juta bagi siswa SMK via link dana-siswa.tk.,1,
1462,LLDikti,@lldikti_wil3,Penertiban administrasi dosen dilakukan 100% daring demi efisiensi biaya logistik.,0,
1463,Instagram,@infokampus,Mahasiswa yang tidak lapor nomor HP di Dapodik akan dicabut beasiswanya.,1,
1464,Kemenkeu,Nota APBN,Sisa dana pembatalan UN 2020 jadi sumber utama subsidi kuota internet November.,0,
1465,TikTok,@politikupdate,Dana riset universitas dipotong untuk membayar influencer pariwisata nasional.,1,
1466,Kompas,@hariankompas,Kemendikbud: Digitalisasi data guru kunci efisiensi penyaluran bantuan subsidi upah.,0,
1467,Facebook,Forum Honorer,Anggaran pengangkatan guru PPPK 2021 dihapus karena negara krisis ekonomi.,1,
1468,Setkab RI,@setkabgoid,Presiden Jokowi: Anggaran pendidikan harus fleksibel dan berpihak pada rakyat.,0,
1469,WhatsApp,Pesan Berantai,"Bantuan dana renovasi gedung perpustakaan, hubungi WA 0821xxxxxxxx (Modus Penipuan).",1,
1470,CNBC Indonesia,@cnbcindonesia,Kemendikbud pangkas biaya operasional birokrasi sebesar Rp400 Miliar di November.,0,
1471,X (Twitter),@guru_cerdas,Kemendikbud akan tarik dana sertifikasi bagi guru yang tidak mengajar di zona hijau.,1,
1472,Tempo.co,@tempodotco,Nadiem: Efisiensi anggaran adalah memastikan dana sampai ke tangan yang berhak.,0,
1473,Instagram,@beasiswagratis,Pendaftaran Beasiswa Berhenti Kuliah bagi mahasiswa terdampak di link-beasiswa.com.,1,
1474,Kemendikbud,Rilis Pers,Penyesuaian Juknis BOS November: Sekolah boleh beli alat perlindungan diri bagi guru.,0,
1475,WhatsApp,Grup Kelas,Subsidi biaya SPP sekolah Rp200rb cair melalui link subsidi-pendidikan.online.,1,
1476,Kemenkeu,Laporan APBN,Realisasi belanja fungsi pendidikan November meningkat tajam akibat BSU dan kuota.,0,
1477,Facebook,Info Loker,"Kemendikbud butuh admin entri data bantuan kuota internet, gaji Rp4 juta sebulan.",1,
1478,Detik Finance,@detikcom,Sistem pelaporan BOS daring (ARKAS) berhasil minimalisir kebocoran dana sekolah.,0,
1479,TikTok,@mhs_update,UI dan ITB naikkan biaya pendaftaran mahasiswa baru jalur mandiri secara mendadak.,1,
1480,Humas PTN,@univ_indonesia,UI optimalkan efisiensi pemeliharaan fasilitas kampus selama periode PJJ November.,0,
1481,WhatsApp,Grup Guru,Biaya pendaftaran verifikasi subsidi upah kementerian sebesar Rp50rb per orang.,1,
1482,Kompasiana,Opini,Kebijakan Merdeka Belajar: Transformasi efisiensi birokrasi pendidikan Indonesia.,0,
1483,Instagram,@scholarship_id,Dana beasiswa S1 dalam negeri dialihkan untuk pembangunan rumah sakit darurat baru.,1,
1484,BPS,Laporan 2020,Stabilitas biaya pendidikan November terbantu kebijakan subsidi paket data.,0,
1485,X (Twitter),@lapor_mas,Link verifikasi nomor HP dosen untuk tunjangan kuota riset November (Phishing).,1,
1486,Kemendikbud,@kemdikbud,Mendikbud: Kampus Merdeka dorong kolaborasi riset antar kampus yang efisien.,0,
1487,Facebook,Berita Guru,Guru yang tidak aktif di grup koordinasi WhatsApp tunjangan profesinya dipotong.,1,
1488,Antara News,@antaranews,Kemendikbud fokuskan dana untuk peningkatan sinyal internet di sekolah terpencil.,0,
1489,WhatsApp,Grup WA,Undangan survei kepuasan guru berhadiah saldo e-wallet (Indikasi Penipuan).,1,
1490,Liputan6,@liputan6dotcom,Nadiem Makarim: Digitalisasi sekolah memangkas biaya administrasi pendidikan.,0,
1491,TikTok,@infosekolah,Video: Penutupan massal sekolah swasta karena dana BOS November dihentikan.,1,
1492,Tirto.id,@tirtoid,Analisis: RPP 1 Lembar November kurangi beban kerja administratif guru.,0,
1493,Kemendikbud,@Kemdikbud_RI,Pemerintah izinkan PTM terbatas mulai Januari 2021 berdasarkan izin Pemda dan orang tua.,0,
1494,WhatsApp,Grup Sekolah,"Link pendaftaran bantuan kuota belajar 100GB edisi Tahun Baru 2021, klik kuota-januari.xyz.",1,
1495,Kompas.com,@kompascom,Nadiem: Dana BOS 2021 bisa digunakan untuk membiayai persiapan prokes sekolah tatap muka.,0,
1496,Facebook,Info Guru,Kabar Viral: Guru yang belum vaksin COVID-19 dilarang menerima tunjangan sertifikasi Januari.,1,
1497,Antara News,@antaranews,Kemendikbud alokasikan Rp3 Triliun untuk peningkatan sarana sanitasi di 12.000 sekolah.,0,
1498,TikTok,@edukasiviral,Resmi: Nadiem Makarim hapus seragam sekolah nasional mulai semester genap 2021.,1,
1499,Detik Edu,@detikcom,Cara aktivasi akun Belajar.id bagi guru dan siswa untuk akses bantuan modul digital.,0,
1500,Instagram,@beasiswahunter,Pendaftaran LPDP 2021 ditutup untuk semua jalur karena anggaran dialihkan ke biaya vaksin.,1,
1501,Tempo.co,@tempodotco,Efisiensi Anggaran: Kemendikbud pangkas 30% biaya rapat fisik tingkat pusat di awal tahun.,0,
1502,WhatsApp,Broadcast,Login ke dana-bansos-pelajar.site untuk klaim subsidi uang saku Januari Rp1 juta.,1,
1503,Liputan6,@liputan6dotcom,Mendikbud: Penyaluran Dana BOS 2021 akan langsung masuk ke rekening sekolah tanpa perantara.,0,
