No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
1545,Kemendikbud,@Kemdikbud_RI,program guru penggerak fokus kepemimpinan inovasi pembelajaran efisien,0,
1546,WhatsApp,Grup Guru,perintah pengiriman data dapodik klaim bonus tahun kementerian,1,
1547,Kompas.com,@kompascom,kemendikbud siapkan dana rp triliun subsidi ukt mahasiswa swasta januari,0,
1548,Facebook,Info Guru,sertifikasi guru januari cair guru lulus ujian kompetensi it,1,
1549,Antara News,@antaranews,dana bos digitalisasi pelaporan pangkas administrasi bendahara sekolah,0,
1550,TikTok,@edukasiviral,berita buruk tahun ajaran resmi diulang awal jenjang,1,
1551,Detik Edu,@detikcom,nadiem anggaran kementerian diprioritaskan pemulihan kualitas pembelajaran,0,
1552,Instagram,@beasiswahunter,beasiswa negeri dialihkan total subsidi kuota internet mahasiswa,1,
1553,Tempo.co,@tempodotco,kemendikbud dorong efisiensi penggunaan portal rumah belajar secara gratis,0,
1554,WhatsApp,Broadcast,link registrasi bantuan dana belajar rp juta siswa sekolah bulan januari,1,
1555,Liputan6,@liputan6dotcom,mendikbud pjj momentum melakukan efisiensi sistem pendidikan nasional,0,
1556,X (Twitter),@anon_indo,dana bantuan mahasiswa kip dipakai membiayai iklan keberhasilan kementerian,1,
1557,CNN Indonesia,@CNNIndonesia,efisiensi anggaran kemendikbud tunda pengadaan alat olahraga tingkat nasional,0,
1558,Facebook,Kabar Guru,syarat pencairan sertifikasi januari wajib melampirkan bukti vaksinasi tahap,1,
1559,Tirto.id,@tirtoid,analisis digitalisasi administrasi sekolah pangkas biaya operasional daerah,0,
1560,YouTube,Berita News,video mendikbud umumkan seragam sekolah diganti kaos demi penghematan,1,
1561,Republika,@republikaonline,pemerintah fokuskan dana pendidikan infrastruktur teknologi sekolah pedesaan,0,
1562,WhatsApp,Grup Sekolah,subsidi pulsa gb cair login menggunakan ponsel link bit ly palsu,1,
1563,LLDikti,@lldikti_wil3,digitalisasi tanda tangan ijazah perguruan tinggi pangkas biaya pengiriman dokumen,0,
1564,Instagram,@infokampus,mahasiswa angkatan bebas biaya ukt selama semester orang tua kena phk,0,
1565,Kemenkeu,Nota Keuangan,sisa anggaran un resmi habis dialokasikan subsidi kuota internet,0,
1566,TikTok,@politikupdate,dana riset universitas dipotong membayar influencer pariwisata nasional,1,
1567,Kompas,@hariankompas,kemendikbud instruksikan sekolah gunakan dana bos pembelian kuota guru,0,
1568,Facebook,Forum Honorer,nadiem makarim hapus syarat nuptk penerima bsu guru honorer,0,
1569,Setkab RI,@setkabgoid,presiden efisiensi anggaran pendidikan harus berujung bantuan langsung rakyat,0,
1570,Kemendikbud,@Kemdikbud_RI,nadiem program guru berbagi capai juta materi gratis efisiensi mengajar,0,
1571,WhatsApp,Grup Guru,pemberitahuan bonus kuota gb guru cetak kartu bsu informasi gtk,1,
1572,Detik Edu,@detikcom,kemendikbud alokasikan rp triliun tunjangan khusus guru daerah terpencil,0,
1573,Facebook,Info Viral,sekolah dilarang pungut biaya perpisahan selama pandemi melanggar denda besar,0,
1574,Antara News,@antaranews,kemendikbud salurkan bos afirmasi sekolah swasta daerah terdampak covid-19,0,
1575,TikTok,@mhs_fakta,kampus resmi dilarang menagih biaya wisuda online menggunakan aplikasi zoom,1,
1576,Tempo.co,@tempodotco,kemendikbud tunda pembangunan pusat seni demi dana bantuan kuota internet,0,
1577,Instagram,@beasiswa_indo,beasiswa negeri tersedia memiliki sertifikat keahlian it,1,
1578,Liputan6,@liputan6dotcom,mendikbud kurikulum darurat kurangi beban psikis siswa finansial orang tua,0,
1579,WhatsApp,Pesan Berantai,link subsidi internet gb pengguna telkomsel edisi januari klik,1,
1580,CNBC Indonesia,@cnbcindonesia,kemendikbud pangkas anggaran perjalanan dinas rp triliun tahun,0,
1581,X (Twitter),@anon_indo,dana pembangunan jalan tol diambil anggaran riset universitas nasional,1,
1582,CNN Indonesia,@CNNIndonesia,efisiensi kemendikbud terapkan sistem monitoring dana bos berbasis digital,0,
1583,Facebook,Kabar Guru,sertifikasi guru cair guru menunjukkan struk belanja paket data harian,1,
1584,Tirto.id,@tirtoid,analisis skema penyaluran dana bos januari ringankan beban sekolah kecil,0,
1585,YouTube,Politik News,video mendikbud sebut sekolah swasta dapat bantuan tahun,1,
1586,Republika,@republikaonline,pemerintah tingkatkan alokasi dana bantuan operasional sekolah swasta januari,0,
1587,WhatsApp,Grup Sekolah,bantuan tablet gratis guru honorer klik tablet guru bsu xyz,1,
1588,LLDikti,@lldikti_wil3,penyeragaman sistem pelaporan online pddikti kurangi biaya administrasi kampus,0,
1589,Instagram,@infomahasiswa,pengembalian dana ukt mahasiswa masuk laboratorium,1,
1590,Kemenkeu,Nota APBN,belanja barang kemendikbud turun tajam berkat efisiensi pertemuan virtual januari,0,
1591,TikTok,@politikupdate,dana subsidi kuota diberikan provider tertentu milik kroni pejabat,1,
1592,Kompas,@hariankompas,kemendikbud sekolah boleh gunakan dana bos membeli alat cuci tangan otomatis,0,
1593,Facebook,Forum Honorer,pendaftaran pppk resmi dibuka mulai januari bertepatan hari guru,1,
1594,Setkab RI,@setkabgoid,presiden anggaran pendidikan harus lincah berpihak rakyat kecil,0,
1595,Kemendikbud,@Kemdikbud_RI,kemendikbud luncurkan portal guru belajar efisiensi pelatihan guru daring,0,
1596,WhatsApp,Grup Guru,link klaim insentif tambahan guru honorer rp juta kementerian palsu,1,
1597,Detik Edu,@detikcom,nadiem penyaluran dana bos tahap dipercepat persiapan semester genap,0,
1598,Facebook,Info Viral,sekolah wajib kembalikan uang gedung gedung dipakai selama pjj,1,
1599,Antara News,@antaranews,kemendikbud siapkan dana rp miliar penguatan server learning universitas,0,
1600,TikTok,@edukasiviral,berita buruk ijazah laku melamar kerja lulusan pandemi,1,
1601,Tempo.co,@tempodotco,kemendikbud sederhanakan standar kelulusan nasional guna efisiensi kurikulum,0,
1602,Instagram,@beasiswahunter,dana kip kuliah ditunda pencairannya demi subsidi vaksin kementerian kesehatan,1,
1603,CNBC Indonesia,@cnbcindonesia,kemendikbud hemat rp miliar pengalihan rapat koordinasi daerah webinar,0,
1604,WhatsApp,Broadcast,link aktivasi paket internet gb gratis menteri khusus bulan januari,1,
1605,Liputan6,@liputan6dotcom,mendikbud pemanfaatan sistem siplah pengadaan sekolah efisien,0,
1606,X (Twitter),@anon_indo,anggaran beasiswa negeri dipakai membayar buzzer politik pemerintah,1,
1607,CNN Indonesia,@CNNIndonesia,efisiensi anggaran kemendikbud batalkan studi banding antar universitas,0,
1608,Facebook,Kabar Guru,guru honorer menguasai google classroom diberhentikan kontraknya,1,
1609,Tirto.id,@tirtoid,analisis kurikulum darurat januari ringankan biaya fotokopi tugas orang tua,0,
1610,YouTube,Berita News,video nadiem resmi gunakan dana bos operasional bisnis pribadinya,1,
1611,Republika,@republikaonline,pemerintah alokasikan dana khusus riset ventilator universitas nasional,0,
1612,WhatsApp,Grup Sekolah,bantuan uang tunai rp juta siswa smk link dana siswa tk,1,
1613,LLDikti,@lldikti_wil3,penertiban administrasi dosen dilakukan daring demi efisiensi biaya logistik,0,
1614,Instagram,@infokampus,mahasiswa lapor ponsel dapodik dicabut beasiswanya,1,
1615,Kemenkeu,Nota APBN,sisa dana pembatalan un jadi sumber utama subsidi kuota internet januari,0,
1616,TikTok,@politikupdate,dana riset universitas dipotong membayar influencer pariwisata nasional,1,
1617,Kompas,@hariankompas,kemendikbud digitalisasi data guru kunci efisiensi penyaluran bantuan subsidi upah,0,
1618,Facebook,Forum Honorer,anggaran pengangkatan guru pppk dihapus negara krisis ekonomi,1,
1619,Setkab RI,@setkabgoid,presiden jokowi anggaran pendidikan harus fleksibel berpihak rakyat,0,
1620,WhatsApp,Pesan Berantai,bantuan dana renovasi gedung perpustakaan hubungi whatsapp xxxxxxxx modus penipuan,1,
1621,CNBC Indonesia,@cnbcindonesia,kemendikbud pangkas biaya operasional birokrasi sebesar rp miliar januari,0,
1622,X (Twitter),@guru_cerdas,kemendikbud tarik dana sertifikasi guru mengajar zona hijau,1,
1623,Tempo.co,@tempodotco,nadiem efisiensi anggaran memastikan dana tangan berhak,0,
1624,Instagram,@beasiswagratis,pendaftaran beasiswa berhenti kuliah mahasiswa terdampak link beasiswa com,1,
1625,Kemendikbud,Rilis Pers,penyesuaian juknis bos januari sekolah boleh membeli alat perlindungan diri guru,0,
1626,WhatsApp,Grup Kelas,subsidi biaya spp sekolah rp rb cair link subsidi pendidikan online,1,
1627,Kemenkeu,Laporan APBN,realisasi belanja fungsi pendidikan januari meningkat tajam persiapan ptm,0,
1628,Facebook,Info Loker,kemendikbud butuh admin entri data bantuan kuota internet gaji rp juta sebulan,1,
1629,Detik Finance,@detikcom,sistem pelaporan bos daring arkas berhasil minimalisir kebocoran dana sekolah,0,
1630,TikTok,@mhs_update,ui itb naikkan biaya pendaftaran mahasiswa jalur mandiri secara mendadak,1,
1631,Humas PTN,@univ_indonesia,ui optimalkan efisiensi pemeliharaan fasilitas kampus selama periode pjj januari,0,
1632,WhatsApp,Grup Guru,biaya pendaftaran verifikasi subsidi upah kementerian sebesar rp rb per orang,1,
1633,Kompasiana,Opini,kebijakan merdeka belajar transformasi efisiensi birokrasi pendidikan indonesia,0,
1634,Instagram,@scholarship_id,dana beasiswa negeri dialihkan pembangunan rumah sakit darurat,1,
1635,BPS,Laporan 2021,stabilitas biaya pendidikan januari terbantu kebijakan subsidi paket data,0,
1636,X (Twitter),@lapor_mas,link verifikasi ponsel dosen tunjangan kuota riset januari phishing,1,
1637,Kemendikbud,@kemdikbud,mendikbud kampus merdeka dorong kolaborasi riset antar kampus efisien,0,
1638,Facebook,Berita Guru,guru aktif grup koordinasi whatsapp tunjangan profesinya dipotong,1,
1639,Antara News,@antaranews,kemendikbud fokuskan dana peningkatan sinyal internet sekolah terpencil,0,
1640,WhatsApp,Grup WA,undangan survei kepuasan guru berhadiah saldo wallet indikasi penipuan,1,
1641,Liputan6,@liputan6dotcom,nadiem makarim digitalisasi sekolah memangkas biaya administrasi pendidikan,0,
1642,TikTok,@infosekolah,video penutupan massal sekolah swasta dana bos januari dihentikan,1,
1643,Tirto.id,@tirtoid,analisis rpp lembar januari kurangi beban kerja administratif guru,0,
1644,Kompas.com,@kompascom,kemendikbudristek alokasikan rp triliun laptop pelajar mei,0,
1645,Detik.com,@detikcom,nadiem makarim efisiensi anggaran dialihkan subsidi kuota internet,0,
1646,Antara News,@antaranews,pemerintah pangkas anggaran seremonial pendidikan demi bangun sekolah pelosok,0,
1647,YouTube,Berita Nasional,terobosan siplah digitalisasi pengadaan sekolah tekan kebocoran dana bos,0,
1648,Kemendikbud,@kemdikbud_ri,penyaluran dana bos tahap ii langsung rekening sekolah,0,
1649,WhatsApp,Grup Warga,hoaks dana bantuan kuota mei siswa sekolah negeri,1,
1650,Facebook,Kabar Pendidikan,viral subsidi ukt mahasiswa dibatalkan sepihak anggaran kosong,1,
1651,X (Twitter),@RakyatBicara,bocoran uang sertifikasi guru dipangkas efisiensi apbn,1,
1652,Tempo.co,@tempodotco,audit bpk temuan pemborosan anggaran lingkungan perguruan tinggi negeri,0,
1653,Media Indonesia,@mediaindonesia,mendikbudristek dorong kampus cari pendanaan mandiri matching fund,0,
1654,Facebook,Info Beasiswa,hoaks pendaftaran kip kuliah ditutup permanen krisis global,1,
1655,Instagram,@faktakita,cek fakta benarkah dana pendidikan dialihkan seluruhnya proyek ikn,1,
1656,TikTok,@edunews_id,gawat laptop merah putih harganya mark up anggaran pendidikan dirampok,1,
1657,X (Twitter),@anon_leaks,dokumen rahasia dana lpdp dihapus tahun boros,1,
1658,WhatsApp,Forwarded,link pendaftaran bantuan biaya hidup mahasiswa rp juta kemendikbud,1,
1659,CNN Indonesia,@CNNIndonesia,efisiensi birokrasi kemendikbud hapus ratusan jabatan eselon iv,0,
1660,Republika,@republikaonline,pemerintah pastikan anggaran pendidikan apbn tetap terjaga,0,
1661,Liputan6,@liputan6dotcom,inovasi aplikasi arkas permudah sekolah kelola dana bos secara transparan,0,
1662,Kompas.com,@kompascom,kemendikbud klaim hemat rp triliun digitalisasi materi ajar,0,
1663,Antara News,@antaranews,kemendikbudristek pastikan pemotongan gaji guru selama pandemi,0,
1664,Detik.com,@detikcom,mendikbud anggaran riset ditingkatkan skema dana abadi perguruan tinggi,0,
1665,YouTube,Edukasi TV,review penggunaan dana bos pemeliharaan fasilitas sekolah,0,
1666,Instagram,@official.kemdikbud,sosialisasi perubahan juknis dana bos demi fleksibilitas kepala sekolah,0,
1667,X (Twitter),@politik_idn,skandal pejabat kemendikbud terciduk gunakan dana efisiensi liburan,1,
1668,Facebook,Suara Edukasi,hoaks aturan seragam sekolah harus membeli pusat harga mahal,1,
1669,WhatsApp,Grup Alumni,berita duka tunjangan profesi guru dihapus ruu sisdiknas,1,
1670,TikTok,@vlogger_politik,fakta mitos dana pendidikan dipakai membayar hutang negara,1,
1671,Kominfo,@kemkominfo,fitnah pesan berantai kuota internet gratis gb kemendikbud,1,
1672,Facebook,Lowongan Guru,hoaks pengangkatan pppk tanpa tes khusus penghematan anggaran,1,
1673,X (Twitter),@rumor_kampus,mahasiswa demo dana ukt dialihkan pembangunan gedung rektorat,1,
1674,Instagram,@infomahasiswa,beasiswa lpdp fokus bidang stem efisiensi sdm unggul,0,
1675,Tempo.co,@tempodotco,pemerintah evaluasi skema pengembalian dana lpdp pulang,0,
1676,CNN Indonesia,@CNNIndonesia,anggaran kemendikdasmen fokus rehabilitasi sekolah rusak,0,
1677,Kompas.com,@kompascom,kemendiktisaintek dorong hilirisasi riset kampus efisien,0,
1678,WhatsApp,Grup Keluarga,hoaks mulai besok siswa wajib membeli tablet dana bos,1,
1679,Facebook,Berita Viral,gaji guru honorer diganti sembako dana habis,1,
1680,X (Twitter),@citizen_news,benarkah anggaran riset kemendiktisaintek turun drastis tahun,1,
1681,Antara News,@antaranews,menkeu sri mulyani dana abadi pendidikan mencapai rp triliun,0,
1682,Media Indonesia,@mediaindonesia,dpr setujui tambahan anggaran peningkatan kualitas guru pppk,0,
1683,Republika,@republikaonline,audit internal kemendikdasmen penggunaan dana bos akuntabel,0,
1684,YouTube,Kabar Guru,mengisi aplikasi rencana kegiatan anggaran sekolah arkas,0,
1685,LinkedIn,Analis Pendidikan,outsourcing pengelolaan gedung sekolah hemat anggaran,0,
1686,Detik.com,@detikcom,nadiem dana bos kini dapat digunakan membayar guru honorer maks,0,
1687,Kompas.com,@kompascom,kemendiktisaintek fokuskan dana penelitian ketahanan pangan,0,
1688,WhatsApp,Grup RT,hoaks program indonesia pintar pip dihentikan sementara audit,1,
1689,Facebook,Peduli Sekolah,sertifikasi guru berlaku lulus demi efisiensi,1,
1690,X (Twitter),@news_update,investigasi aliran dana pendidikan mengalir akun judi online,1,
1691,TikTok,@faktakonten,mahasiswa kip kuliah ditagih biaya semester kemana larinya dana pusat,1,
1692,Instagram,@cekfakta_id,klarifikasi video viral guru menangis gaji dipotong hoaks,1,
1693,WhatsApp,Forwarded,segera klik bantuan tunai rp juta kemendikdasmen akhir tahun,1,
1694,Antara News,@antaranews,kemendikbudristek anggaran prioritas fokus kurikulum merdeka,0,
1695,Tempo.co,@tempodotco,kemendiktisaintek pangkas birokrasi hibah penelitian efisiensi,0,
1696,Kompas.com,@kompascom,skema dana padanan matching fund hemat apbn inovasi kampus,0,
1697,Detik.com,@detikcom,strategi efisiensi kemendikdasmen gunakan buku digital wilayah,0,
1698,Media Indonesia,@mediaindonesia,audit bpk pemanfaatan dana bos capai target transparansi,0,
1699,Republika,@republikaonline,pemerintah tambah anggaran beasiswa santri dana abadi pesantren,0,
1700,CNN Indonesia,@CNNIndonesia,digitalisasi rapor pendidikan permudah evaluasi anggaran daerah,0,
1701,Liputan6,@liputan6dotcom,menkeu anggaran pendidikan capai rp triliun tertinggi sejarah,0,
1702,Instagram,@kemdikbud.ri,panduan penggunaan dana bosp peningkatan literasi,0,
1703,LinkedIn,Analis Edukasi,dampak positif penggabungan satuan kerja efisiensi dana pusat,0,
1704,WhatsApp,Forwarded,hoaks dana kip kuliah dipotong pajak negara,1,
1705,Facebook,Kabar Guru,hoaks nadiem makarim mengundurkan diri anggaran pendidikan defisit,1,
1706,X (Twitter),@PolitikUpdate,viral dana sertifikasi guru dialihkan subsidi bbm tahun,1,
1707,Antara News,@antaranews,kemendiktisaintek resmikan laboratorium guna hemat alkes riset,0,
1708,Detik.com,@detikcom,program guru penggerak diklaim hemat biaya dibanding diklat lama,0,
1709,Kompas.com,@kompascom,optimalisasi aset negara gedung kemendikbud disewakan umum,0,
1710,YouTube,Info Pendidikan,sekolah cairkan dana bos tanpa dinas pendidikan daerah,0,
1711,CNN Indonesia,@CNNIndonesia,kemendikdasmen evaluasi kontrak vendor seragam sekolah bermasalah,0,
1712,WhatsApp,Grup Sekolah,hoaks mulai bulan iuran spp diberlakukan sekolah negeri,1,
1713,TikTok,@berita_panas,gawat dana bos digunakan kampanye politik daerah,1,
1714,Facebook,Suara Rakyat,hoaks pemerintah batalkan kenaikan gaji guru pppk hutang negeri,1,
1715,X (Twitter),@anon_indo,bocoran anggaran pendidikan dihapus konstitusi,1,
1716,Instagram,@fakta_edu,cek fakta benarkah siswa wajib membayar uang bangunan dana bos,1,
1717,WhatsApp,Grup Alumni,hoaks saldo rekening mahasiswa penerima lpdp diaudit pajak,1,
1718,Facebook,Info Beasiswa,hoaks pendaftaran beasiswa unggulan dibuka anak pns,1,
1719,TikTok,@vlogger_edu,dana pendidikan dikorupsi fakta balik pengadaan laptop juta,1,
1720,X (Twitter),@leaks_id,dokumen palsu kemendiktisaintek hapus anggaran riset sosial humaniora,1,
1721,WhatsApp,Forwarded,link hoaks subsidi pulsa rb kemendikbud operator,1,
1722,Facebook,Forum Guru,hoaks guru honorer lulus pppk langsung dipecat,1,
1723,Instagram,@stophoax,klarifikasi narasi dana pendidikan habis pembangunan tol,1,
1724,Tempo.co,@tempodotco,kemendiktisaintek dorong efisiensi konsorsium riset antar kampus,0,
1725,Media Indonesia,@mediaindonesia,mendikdasmen alokasi dana pendidikan fokus smk unggulan,0,
1726,Antara News,@antaranews,pemerintah salurkan bantuan dana darurat sekolah terdampak gempa,0,
1727,CNN Indonesia,@CNNIndonesia,transformasi lpdp dana abadi kini dapat digunakan pelatihan vokasi,0,
1728,YouTube,Kemdikbud RI,webinar transparansi pengelolaan anggaran era digitalisasi,0,
1729,Kompas.com,@kompascom,penghematan anggaran perjalanan dinas kemendikbud capai,0,
1730,Detik.com,@detikcom,nadiem penggunaan dana bos kini fleksibel tergantung kebutuhan,0,
1731,Republika,@republikaonline,kemenkeu evaluasi efektivitas dana otsus pendidikan papua,0,
1732,X (Twitter),@EduUpdate,inovasi aplikasi siln kurangi biaya operasional sekolah negeri,0,
1733,Instagram,@infomahasiswa,kip kuliah tetap tersedia kuota besar,0,
1734,WhatsApp,Grup Warga,hoaks pemerintah tarik bantuan ponsel gratis sasaran,1,
1735,Facebook,Viral News,dana pendidikan bocor rp triliun rakyat diminta patungan sediakan buku,1,
1736,TikTok,@news_tiktok,berita buruk anggaran makan siang gratis diambil dana sertifikasi guru,1,
1737,X (Twitter),@FactChecker,misinformasi penghapusan mapel sejarah demi efisiensi kurikulum,1,
1738,WhatsApp,Grup Guru,hoaks syarat pencairan tpg harus punya sertifikat vaksin,1,
1739,Instagram,@edunews,hoaks kampus swasta dibubarkan capai target akreditasi,1,
1740,Facebook,Peduli Edukasi,hoaks dana operasional sekolah dipakai membayar cicilan kereta cepat,1,
1741,LinkedIn,Opini Publik,analisis digitalisasi pendidikan hemat anggaran jangka panjang,0,
1742,YouTube,Fokus Berita,mendikdasmen tinjau langsung pembangunan sekolah dana swakelola,0,
1743,Kompas.com,@kompascom,kemendiktisaintek luncurkan program magang bersertifikat hemat biaya,0,
1744,Antara News,@antaranews,kemendiktisaintek alokasikan dana riset khusus startup mahasiswa,0,
1745,Tempo.co,@tempodotco,kebijakan merdeka belajar kampus merdeka hemat biaya pelatihan industri,0,
1746,Kompas.com,@kompascom,kemendikdasmen fokuskan dana dak bangun ruang kelas,0,
1747,Detik.com,@detikcom,anggaran pendidikan diprediksi naik program gizi anak sekolah,0,
1748,CNN Indonesia,@CNNIndonesia,pemerintah klaim aplikasi siplah berhasil cegah korupsi dana bos,0,
1749,Media Indonesia,@mediaindonesia,mendikdasmen pangkas anggaran konsumsi rapat dialihkan buku,0,
1750,Republika,@republikaonline,audit kinerja efektivitas penggunaan dana alokasi umum sektor pendidikan,0,
1751,Instagram,@kemdikbud.ri,pengumuman skema pencairan tunjangan profesi guru cepat,0,
1752,WhatsApp,Grup Berita,hoaks mahasiswa kip kuliah ipk wajib kembalikan uang,1,
1753,Facebook,Kabar Viral,hoaks mulai januari gaji guru dialihkan membiayai pajak negara,1,
1754,X (Twitter),@RumorEdu,bocoran pemerintah hapus program beasiswa negeri,1,
1755,TikTok,@politik_id,gawat dana bos sekolah dipakai kepala sekolah membeli mobil pribadi,1,
1756,WhatsApp,Forwarded,hoaks segera daftar bantuan laptop gratis kemendikdasmen link,1,
1757,Facebook,Forum Guru,hoaks guru honorer wajib membayar rb administrasi pppk,1,
1758,X (Twitter),@InfoHoax,misinformasi foto demo mahasiswa kenaikan ukt foto lama,1,
1759,Instagram,@faktakita,hoaks dana riset kemendiktisaintek diberikan kampus negeri,1,
1760,WhatsApp,Grup Warga,hoaks mulai semester siswa smk wajib membayar uang praktik sendiri,1,
1761,TikTok,@vlogger_news,rahasia anggaran pendidikan indonesia kecil asia tenggara,1,
1762,Facebook,Berita Pendidikan,hoaks syarat kip kuliah harus melampirkan bukti dukung partai,1,
1763,X (Twitter),@Leak_Data,terbongkar dana efisiensi kantor kemendikbud digunakan judi slot,1,
1764,WhatsApp,Forwarded,hoaks pemerintah bagikan pulsa gb pelajar selama libur panjang,1,
1765,Facebook,Info Cepat,hoaks sertifikat guru berlaku mengikuti pelatihan berbayar,1,
1766,Instagram,@edunews,hoaks dana abadi pendidikan dipakai menambal defisit bpjs,1,
1767,Kompas.com,@kompascom,kemendiktisaintek jalin kerja riset jerman guna hemat apbn,0,
1768,Detik.com,@detikcom,reformasi birokrasi kemendikdasmen sederhanakan spj dana bos,0,
1769,Antara News,@antaranews,kemendikbudristek beri penghargaan sekolah efisiensi energi terbaik,0,
1770,CNN Indonesia,@CNNIndonesia,nadiem dana bos dapat digunakan adaptasi teknologi sekolah,0,
1771,Republika,@republikaonline,pemerintah pastikan beasiswa lpdp tetap mengacu kebutuhan nasional,0,
1772,YouTube,Pendidikan Kita,menggunakan dashboard rapor pendidikan perencanaan anggaran,0,
1773,Media Indonesia,@mediaindonesia,kemendiktisaintek fokuskan anggaran kemandirian teknologi,0,
1774,LinkedIn,Praktisi Pendidikan,outsourcing kebersihan sekolah efisien secara anggaran,0,
1775,Instagram,@infomahasiswa,pendaftaran magang instansi pemerintah dipungut biaya sepeserpun,0,
1776,Facebook,Berita Kampus,update jadwal pencairan beasiswa unggulan tahap ii tahun,0,
1777,WhatsApp,Grup Alumni,hoaks alumni penerima beasiswa wajib setor gaji dana abadi,1,
1778,TikTok,@politik_receh,cek rekening bantuan juta kemendikdasmen cair hari link hoaks,1,
1779,Facebook,Peduli Guru,hoaks program guru penggerak kedok menghapus senioritas,1,
1780,X (Twitter),@Netizen_News,skandal anggaran pembangunan perpustakaan nasional dikorupsi,1,
1781,Instagram,@cekfakta_id,klarifikasi benar kantin sekolah dikenakan pajak,1,
1782,WhatsApp,Forwarded,hoaks pendaftaran cpns guru jalur rekomendasi pusat,1,
1783,Facebook,Viral Edu,hoaks siswa punya ponsel android dilarang mengikuti ujian nasional,1,
1784,TikTok,@news_update,fakta mengejutkan dana pendidikan dialokasikan membeli jet pribadi,1,
1785,WhatsApp,Grup RT,hoaks bantuan alat tulis pemerintah harus ditebus biaya mengirim,1,
1786,X (Twitter),@AnonNews,dokumen palsu kemendiktisaintek hentikan pendanaan jurusan seni,1,
1787,Instagram,@fakta_bola,hoaks dana olahraga sekolah dihapus membiayai makan siang,1,
1788,Facebook,Kabar Guru,hoaks guru sertifikasi wajib mengajar jam seminggu,1,
1789,Tempo.co,@tempodotco,kemendiktisaintek luncurkan dana hibah inovasi hijau universitas,0,
1790,Kompas.com,@kompascom,kemendikdasmen dorong sekolah gunakan panel surya guna efisiensi listrik,0,
1791,CNN Indonesia,@CNNIndonesia,menkeu realisasi anggaran pendidikan semester tepat sasaran,0,
1792,Antara News,@antaranews,pemerintah resmikan platform pembelajaran mandiri guru secara gratis,0,
1793,Kemendikbud,@kemdikbud_ri,menerima memberi partisipasi transformasi pendidikan indonesia,0,
1794,Kompas.com,@kompascom,kemendikbudristek sekolah perlu khawatir soal rencana ppn jasa pendidikan,0,
1795,Detik.com,@detikcom,nadiem makarim pastikan dana bos tetap tersalurkan tanpa potongan pajak,0,
1796,Antara News,@antaranews,pemerintah cairkan subsidi kuota internet juni juta penerima,0,
1797,Republika,@republikaonline,efisiensi anggaran kemendikbudristek optimalkan platform digital guru,0,
1798,CNN Indonesia,@CNNIndonesia,anggaran seleksi pppk guru ditanggung pemerintah pusat sepenuhnya,0,
1799,WhatsApp,Grup Warga,hoaks mulai juli sekolah swasta dikenakan pajak per siswa,1,
1800,Facebook,Kabar Guru,hoaks pendaftaran pppk ditutup dana alokasi daerah kosong,1,
1801,X (Twitter),@RumorPolitik,bocoran gaji guru dipotong membayar utang pengadaan laptop,1,
1802,Instagram,@faktakita,cek fakta benarkah dana bantuan ukt mahasiswa dialihkan proyek vaksin,1,
1803,WhatsApp,Forwarded,hoaks link pendaftaran bantuan tunai pelajar rp juta cair juni,1,
1804,Facebook,Info Beasiswa,hoaks mahasiswa kedokteran wajib ganti rugi beasiswa menolak vaksin,1,
1805,X (Twitter),@AnonEdu,dokumen palsu kemendikbud hapus tunjangan daerah terpencil juni,1,
1806,TikTok,@vlogger_id,gawat dana pendidikan dipakai membayar bunga pinjaman negeri,1,
1807,WhatsApp,Grup Sekolah,hoaks instruksi membeli buku juni kurikulum lama dihapus,1,
1808,Facebook,Suara Rakyat,hoaks dana kip kuliah cair mahasiswa memiliki kartu anggota partai,1,
1809,Tempo.co,@tempodotco,kemendikbudristek klaim penghematan rp miliar rapat virtual,0,
1810,Media Indonesia,@mediaindonesia,mendikbud dana bos dapat digunakan persiapan tatap muka,0,
1811,CNBC Indonesia,@cnbcindonesia,sri mulyani tegaskan sekolah negeri tetap bebas pajak ppn,0,
1812,YouTube,Pendidikan TV,strategi arkas mengelola dana bos tanpa kertas efisiensi dinas,0,
1813,Liputan6,@liputan6dotcom,kemendikbudristek beri keringanan ukt mahasiswa terdampak pandemi,0,
1814,Instagram,@kemdikbud.ri,panduan seleksi guru asn pppk transparan bebas biaya,0,
1815,Detik.com,@detikcom,nadiem digitalisasi sekolah investasi efisiensi jangka panjang,0,
1816,Kompas.com,@kompascom,pemerintah salurkan rp triliun dana alokasi khusus fisik pendidikan,0,
1817,WhatsApp,Grup Guru,hoaks syarat pencairan tunjangan sertifikasi harus lulus tes wawasan kebangsaan,1,
1818,Facebook,Info Viral,hoaks mulai juni ijazah tk wajib daftar sd dana bos dicabut,1,
1819,X (Twitter),@NewsUpdate,berita buruk anggaran riset kampus dipangkas proyek kereta cepat,1,
1820,TikTok,@edunews,hoaks dana pendidikan rp triliun hilang terdeteksi audit bpk,1,
1821,Instagram,@stophoax,klarifikasi video nadiem makarim soal penghapusan mapel agama editan,1,
1822,WhatsApp,Forwarded,hoaks kuota internet gratis gb kemdikbud klik bit ly kuota juni,1,
1823,Facebook,Kabar Sekolah,hoaks pemerintah wajibkan orang tua siswa membayar sewa laptop sekolah,1,
1824,X (Twitter),@politik_id,skandal dana hibah pendidikan mengalir rekening pribadi pejabat eselon,1,
